student_id,native_lang,age_group,school_lang,other_langs,years_in_germany,consent,response_count
GOLD_LABEL,zh,,de,,,1,20
P001,zh,15～20,zh,英语,0,1,10
P002,zh,16～20,zh,德语,0,1,10
P003,zh,11～15,zh,英语,0,1,10
P004,zh,10～15,zh,英语,0,1,10
P005,zh,10～15,zh,英语,0,1,10
P006,zh,46-50,zh,英语,0,1,10
P007,zh,51-55,zh,英语,0,1,10
P008,zh,50～55,zh,英语,0,1,10
S001,zh,,自由,,,1,13
S002,de,,pf,,,1,13
S003,de,,du,,,1,13
S004,zh,,自由,,,1,13
S005,de,,fo,,,1,13
S006,de,,th,,,1,13
S007,zh,,自由,,,1,13
S008,en,,fr,,,1,13
WIKIPEDIA_CORPUS,en,,N/A,,,1,0
student_001,zh,,de,en,,1,5
