student_id,language,question_id,answer_text
P001,zh,q8_time_assoc,漫长 延伸 短促 存在 永恒
P001,zh,q9_xiao_explain,Respect and love the elders.
P001,zh,q10_emotion_reaction,口误🤓
P001,zh,q11_picture_vase,一个人推倒了花瓶，花屏碎了
P001,zh,q12_translate_mike,Mike进入了房子穿过了客厅并走进了花园
P001,zh,q13_picture_spatial,笔在书的左侧，杯子在书的前方
P001,zh,q14_translate_test,测试在六天之后，考试将在两天后到来
P001,zh,q15_picture_exchange,A把书还给B
P001,zh,q16_translate_umbrella,那位母亲昨天下午应为下雨将自己的雨伞借给了那位女孩。
P001,zh,q17_robot_description,医护机器人
P002,zh,q8_time_assoc,时差 地球 成本 金融 诺贝尔经济学奖
P002,zh,q9_xiao_explain,It means kids had some love to their parents
P002,zh,q10_emotion_reaction,哈哈哈 我还是很幽默的吧
P002,zh,q11_picture_vase,一个小人想去抓快要倾倒的花瓶，但是没抓到，花瓶碎了，小人难过中
P002,zh,q12_translate_mike,Mike移步离房，经卧居室之框，而向园林方往
P002,zh,q13_picture_spatial,杯子在书上方，笔在书左旁
P002,zh,q14_translate_test,六天之后要考试 & 考试提前了两天
P002,zh,q15_picture_exchange,A要把一本非常厚的正方形的书递给B，B双手去接
P002,zh,q16_translate_umbrella,母昨日中见雨落，则将即予女伞。
P002,zh,q17_robot_description,量体温、发口服药、记录生命体征、推轮椅、呼叫值班医生、整理床铺、运送废弃物…七合一机器人
P003,zh,q8_time_assoc,流逝 岁月 钟表 金钱（？）  年龄
P003,zh,q9_xiao_explain,孝顺来的吧，就是尊老爱老敬老养老助老 respect and love the old
P003,zh,q10_emotion_reaction,不要笑！有什么好笑的！
P003,zh,q11_picture_vase,一个花瓶被可恶的小明推到摔碎了
P003,zh,q12_translate_mike,？麦克走出家门了
P003,zh,q13_picture_spatial,杯子在书上面，笔在书左边
P003,zh,q14_translate_test,六天后有考试 两天后有考试
P003,zh,q15_picture_exchange,A给B东西
P003,zh,q16_translate_umbrella,因为淋过雨所以要为别人撑伞
P003,zh,q17_robot_description,智能护士
P004,zh,q8_time_assoc,钟表 指针 生命 金钱 紧急
P004,zh,q9_xiao_explain,尊敬，爱自己的长辈。   Respect and love your family
P004,zh,q10_emotion_reaction,不好意思，你们刚刚什么都没有听见
P004,zh,q11_picture_vase,一个人把桌子上的花瓶打碎了，他很难过
P004,zh,q12_translate_mike,麦克走出房间，路过了客厅，走进花园
P004,zh,q13_picture_spatial,杯子在书前面，笔在书左边
P004,zh,q14_translate_test,考试在六天之后。考试在两天之内被提出
P004,zh,q15_picture_exchange,A把书递给B
P004,zh,q16_translate_umbrella,因为下雨，昨天下午，这位母亲将女孩的雨伞递给她
P004,zh,q17_robot_description,医疗助手
P005,zh,q8_time_assoc,流逝，珍惜，考试，钟表，漫长
P005,zh,q9_xiao_explain,汉：尊敬父母，遵守礼仪。 英：Respect your parents and follow the rules.
P005,zh,q10_emotion_reaction,这一点也不好笑。
P005,zh,q11_picture_vase,火柴人路过桌子，不小心打碎了花瓶。
P005,zh,q12_translate_mike,麦克从房间里出来，路过客厅，走向花园。
P005,zh,q13_picture_spatial,笔在书的左边，杯子在书的前面。
P005,zh,q14_translate_test,这场考试在六天之后。这场考试提前了两天。
P005,zh,q15_picture_exchange,A递给B一本书。
P005,zh,q16_translate_umbrella,妈妈昨天下午把她的雨伞给了女孩，因为下雨了。
P005,zh,q17_robot_description,全职医院护理机器人
P006,zh,q8_time_assoc,生命、宇宙、时差、岁月、季节
P006,zh,q9_xiao_explain,it’s the best love in life、peace、pure、forever.
P006,zh,q10_emotion_reaction,啊，抱歉，我错了。
P006,zh,q11_picture_vase,哦豁，打烂了，这下安逸了！
P006,zh,q12_translate_mike,迈克从屋头出来穿过起居室去花园了。杯子zai
P006,zh,q13_picture_spatial,杯子在书高头，笔在左手边。
P006,zh,q14_translate_test,一个星期以后考试，后天考试。
P006,zh,q15_picture_exchange,书拿去
P006,zh,q16_translate_umbrella,昨天下午下雨了，她妈把伞给她了。
P006,zh,q17_robot_description,护工
P007,zh,q8_time_assoc,珍贵 短暂 易逝 永恒 如电
P007,zh,q9_xiao_explain,温凊定省 Take care of parents very well
P007,zh,q10_emotion_reaction,见笑了
P007,zh,q11_picture_vase,乐极生悲
P007,zh,q12_translate_mike,麦克从屋子里走出来，穿过客厅去了花园。
P007,zh,q13_picture_spatial,杯子放在书的前面，笔放在书的一侧
P007,zh,q14_translate_test,测验在六天后举行。考试推迟两天。
P007,zh,q15_picture_exchange,A 把书交到 B 手上。
P007,zh,q16_translate_umbrella,因为下雨，妈妈昨天下午把雨伞给了女儿。
P007,zh,q17_robot_description,接诊机器人
P008,zh,q8_time_assoc,钟，表，太阳，清晨，夕阳
P008,zh,q9_xiao_explain,尊重，敬重，热爱，支持，赡养，扶持
P008,zh,q10_emotion_reaction,不好意思，刚出了个错误
P008,zh,q11_picture_vase,失手打翻花瓶，很可惜一地碎片
P008,zh,q12_translate_mike,麦克穿过卧室，走出房间来到了花园
P008,zh,q13_picture_spatial,杯子在书的上面，笔放在左边
P008,zh,q14_translate_test,6天后测试。测验持续2天
P008,zh,q15_picture_exchange,A送本书给B
P008,zh,q16_translate_umbrella,昨天下午下雨，妈妈给了女孩雨伞。
P008,zh,q17_robot_description,医护助理
